Sentence,Sentiment,sentiment_score,clean_sentence,wordlen
eels like make stone college students,0.30556,3.0556,eel like make stone colleg student,6
eels like one long line film,0.34722,3.4722,eel like one long line film,6
eels like one long line film year,0.22222,2.2222,eel like one long line film year,7
eels like logical unforced continuation career pair spy kid,0.68056,6.8056,eel like logic unforc continu career pair spi kid,9
eels limit short run time,0.36111,3.6111,eel limit short run time,5
eels like quickie special feature film,0.22222,2.2222,eel like quicki special featur film,6
eels like series toast testimonial dinner documentary,0.55556,5.5556,eel like seri toast testimoni dinner documentari,7
eels like extend poem traditionally structure story,0.61111,6.1111,eel like extend poem tradit structur stori,7
eels like pilot episode series,0.38889,3.8889,eel like pilot episod seri,5
eels like pilot episode series feature film,0.27778,2.7778,eel like pilot episod seri featur film,7
eels manufacture also false see filmmakers puppet string,0.27778,2.7778,eel manufactur also fals see filmmak puppet string,8
eels significantly longer relatively scant minutes,0.27778,2.7778,eel significantli longer rel scant minut,6
elt craven nightmare elm street the hills have eyes sad schlock merchant deadly friend,0.25,2.5,elt craven nightmar elm street hill eye sad schlock merchant deadli friend,12
elt though tiny two seater plane carry giant camera around australia sweep glide bank,0.5,5.0,elt though tini two seater plane carri giant camera around australia sweep glide bank,14
elt emotions draw people together across wall might otherwise separate,0.72222,7.2222,elt emot draw peopl togeth across wall might otherwis separ,10
elt like answer irvine welsh book trainspotting,0.73611,7.3611,elt like answer irvin welsh book trainspot,7
elt like unforgettably uncertain days,0.43056,4.3056,elt like unforgett uncertain day,5
elt like new yorker really human weeks,0.625,6.25,elt like new yorker realli human week,7
elt powerfully draw toward light light exit sign,0.055556,0.55556,elt power draw toward light light exit sign,8
elt movie end damn soon,0.55556,5.5556,elt movi end damn soon,5
emale audience members drool michael idemoto michael,0.75,7.5,emal audienc member drool michael idemoto michael,7
emale friendship spike raw urban humor,0.65278,6.5278,emal friendship spike raw urban humor,6
emale friendship men embrace women,0.59722,5.9722,emal friendship men embrac woman,5
eminine energy tribute power women heal,0.86111,8.6111,eminin energi tribut power woman heal,6
ervently humanity feel almost anachronistic,0.47222,4.7222,ervent human feel almost anachronist,5
ervently scorn create meander inarticulate ultimately disappoint film,0.19444,1.9444,ervent scorn creat meander inarticul ultim disappoint film,8
est actor director leave scant place viewer,0.23611,2.3611,est actor director leav scant place viewer,7
estooning art house screen reason,0.5,5.0,estoon art hous screen reason,5
etishized every bizarre idiosyncrasy monastic devotion sure applaud look commit,0.61111,6.1111,etish everi bizarr idiosyncrasi monast devot sure applaud look commit,10
moments joy rise stale material,0.40278,4.0278,moment joy rise stale materi,5
argue rank best herzog work,0.73611,7.3611,argu rank best herzog work,5
ewer deliberate laugh inadvertent ones stunningly trite,0.29167,2.9166999999999996,ewer deliber laugh inadvert one stunningli trite,7
ewer deliberate laugh inadvertent ones stunningly trite songs,0.36111,3.6111,ewer deliber laugh inadvert one stunningli trite song,8
iascoes make last several years,0.33333,3.3333000000000004,iasco make last sever year,5
idget ten minutes wait end credit delete scenes montage break audience awkward silence,0.097222,0.9722200000000001,idget ten minut wait end credit delet scene montag break audienc awkward silenc,13
iendishly cunning even jade cinema audiences leave auditorium feel dizzy confuse totally disorientate,0.55556,5.5556,iendishli cun even jade cinema audienc leav auditorium feel dizzi confus total disorient,13
iendishly cunning even jade cinema audiences leave auditorium feel dizzy confuse totally disorientate not mention absolutely refresh,0.83333,8.3333,iendishli cun even jade cinema audienc leav auditorium feel dizzi confus total disorient mention absolut refresh,16
ierce struggle pull free dangerous domineer mother,0.47222,4.7222,ierc struggl pull free danger domin mother,7
ifty minutes tedious adolescent melodramatics,0.083333,0.83333,ifti minut tediou adolesc melodramat,5
ifty minutes tedious adolescent melodramatics follow minutes inflate nonsense,0.26389,2.6389,ifti minut tediou adolesc melodramat follow minut inflat nonsens,9
ighting game wire horror movies mystery james bond wrestle anime,0.47222,4.7222,ight game wire horror movi mysteri jame bond wrestl anim,10
ighting game wire horror movies mystery james bond wrestle anime one big bloody stew,0.68056,6.8056,ight game wire horror movi mysteri jame bond wrestl anim one big bloodi stew,14
ighting hard something really matter,0.69444,6.9444,ight hard someth realli matter,5
ighting trim shape athlete well actor,0.75,7.5,ight trim shape athlet well actor,6
ighting yes would fight urge doze,0.33333,3.3333000000000004,ight ye would fight urg doze,6
ights good fight behalf world endanger reef,0.65278,6.5278,ight good fight behalf world endang reef,7
igure character include ana father grandfather come issue ana future,0.45833,4.5833,igur charact includ ana father grandfath come issu ana futur,10
igure mormon family movie sappy preachy one,0.30556,3.0556,igur mormon famili movi sappi preachi one,7
igure rule country bear universe,0.5,5.0,igur rule countri bear univers,5
igure make wilco big deal,0.5,5.0,igur make wilco big deal,5
igure depth two literary figure even time live,0.56944,5.6944,igur depth two literari figur even time live,8
igured bielinsky great game trouble,0.44444,4.4444,igur bielinski great game troubl,5
igured con players debut film,0.52778,5.2778,igur con player debut film,5
igured con players debut film argentine director fabian bielinsky,0.55556,5.5556,igur con player debut film argentin director fabian bielinski,9
ill frame like hanks character,0.51389,5.1389,ill frame like hank charact,5
ill slot shop mall theaters across country,0.38889,3.8889,ill slot shop mall theater across countri,7
illed cast appeal fresh face,0.83333,8.3333,ill cast appeal fresh face,5
illed sense pure wonderment excitement,0.93056,9.3056,ill sen pure wonder excit,5
illed sense pure wonderment excitement often see today cinema sarcasm,0.88889,8.8889,ill sen pure wonder excit often see today cinema sarcasm,10
illed crude humor vulgar innuendo,0.30556,3.0556,ill crude humor vulgar innuendo,5
illed enjoyably complex character never first appear,0.83333,8.3333,ill enjoy complex charact never first appear,7
illed fantasy daydream memories one fantastic visual trope,0.72222,7.2222,ill fantasi daydream memori one fantast visual trope,8
illed fantasy daydream memories one fantastic visual trope another,0.77778,7.7778,ill fantasi daydream memori one fantast visual trope anoth,9
illed heavy dose always entice sayles dialogue,0.80556,8.0556,ill heavi dose alway entic sayl dialogu,7
illed humorous observations general absurdity modern life,0.79167,7.9167,ill humor observ gener absurd modern life,7
illed humorous observations general absurdity modern life see eye outsiders,0.79167,7.9167,ill humor observ gener absurd modern life see eye outsid,10
illed nervous energy moral ambiguity great uncertainties,0.59722,5.9722,ill nervou energi moral ambigu great uncertainti,7
illed raw emotions convey despair love,0.77778,7.7778,ill raw emot convey despair love,6
illed shoot beat cuss could shake stick,0.375,3.75,ill shoot beat cuss could shake stick,7
illing nearly every minute lighthearted glow impudent snicker glorious dose humankind liberate ability,0.70833,7.0833,ill nearli everi minut lightheart glow impud snicker gloriou dose humankind liber abil,13
illing nearly every minute lighthearted glow impudent snicker glorious dose humankind liberate ability triumph scrooge two,0.66667,6.6667,ill nearli everi minut lightheart glow impud snicker gloriou dose humankind liber abil triumph scroog two,16
illing screen torture dull artist,0.23611,2.3611,ill screen tortur dull artist,5
illing void video game graphics adolescent angst,0.34722,3.4722,ill void video game graphic adolesc angst,7
ills spirit purpose emotionally bruise character add body count,0.66667,6.6667,ill spirit purpos emot bruis charact add bodi count,9
ills time drama romance tragedy bravery political intrigue partisans sabotage,0.69444,6.9444,ill time drama romanc tragedi braveri polit intrigu partisan sabotag,10
ills time drama romance tragedy bravery political intrigue partisans sabotage viva resistance,0.79167,7.9167,ill time drama romanc tragedi braveri polit intrigu partisan sabotag viva resist,12
ilm just think make sense something happen tell,0.51389,5.1389,ilm think make sen someth happen tell,7
ilm just think make sense something happen tell sense,0.54167,5.4167,ilm think make sen someth happen tell sen,8
ilm must everyone junior scientists,0.84722,8.472199999999999,ilm must everyon junior scientist,5
ilm must everyone junior scientists fish lovers,0.80556,8.0556,ilm must everyon junior scientist fish lover,7
ilm grow see often enough days,0.79167,7.9167,ilm grow see often enough day,6
ilm buff eat like much gelati,0.83333,8.3333,ilm buff eat like much gelati,6
ilm could possibly come road,0.5,5.0,ilm could possibl come road,5
ilm little insight historical period artists particularly sand develop notorious reputation,0.43056,4.3056,ilm littl insight histor period artist particularli sand develop notori reput,11
ilm lately may surprise variety tone spielberg work,0.66667,6.6667,ilm late may surpris varieti tone spielberg work,8
ilm noir organize crime story,0.51389,5.1389,ilm noir organ crime stori,5
ilm reference make jay silent bob excellent adventure seem understate,0.48611,4.8610999999999995,ilm refer make jay silent bob excel adventur seem underst,10
ilm encourage debut feature needlessly downbeat end,0.44444,4.4444,ilm encourag debut featur needlessli downbeat end,7
ilm leave scratch head amazement fact many talented people could participate,0.41667,4.1667,ilm leav scratch head amaz fact mani talent peopl could particip,11
ilm leave scratch head amazement fact many talented people could participate poorly,0.097222,0.9722200000000001,ilm leav scratch head amaz fact mani talent peopl could particip poorli,12
ilm make miss hitchcock also,0.68056,6.8056,ilm make miss hitchcock also,5
ilm present audacious tour past take within warm,0.63889,6.3889,ilm present audaci tour past take within warm,8
ilm present audacious tour past take within warm embrace bounties cultural artifacts inside petersburg,0.66667,6.6667,ilm present audaci tour past take within warm embrac bounti cultur artifact insid petersburg,14
ilm put sting back con,0.5,5.0,ilm put sting back con,5
ilm remind best disney comedies,0.72222,7.2222,ilm remind best disney comedi,5
ilm affirm love power help people endure almost unimaginable horror,0.76389,7.6389,ilm affirm love power help peopl endur almost unimagin horror,10
ilm drag nearly three hours,0.083333,0.83333,ilm drag nearli three hour,5
ilm paradoxically feel familiar foreign time,0.44444,4.4444,ilm paradox feel familiar foreign time,6
ilm shake conscience night fall,0.61111,6.1111,ilm shake conscienc night fall,5
ilm take everyone since new christmas carol theaters year,0.5,5.0,ilm take everyon sinc new christma carol theater year,9
ilme mergulha espectador clima forte suspense culminando desfecho que certamente fica,0.5,5.0,ilm mergulha espectador clima fort suspens culminando desfecho que certament fica,11
ilmed natural unforced style make character,0.70833,7.0833,ilm natur unforc style make charact,6
ilmed set carpenter the thing load actors likely find next inevitable incarnation the love boat,0.38889,3.8889,ilm set carpent thing load actor like find next inevit incarn love boat,13
ilmed almost taste desiccate air,0.66667,6.6667,ilm almost tast desicc air,5
ilmed opera exactly libretto direct ideally capture opera drama lyricism,0.86111,8.6111,ilm opera exactli libretto direct ideal captur opera drama lyric,10
ilmed opera without distortions perspective,0.51389,5.1389,ilm opera without distort perspect,5
ilming teem life reef make gorgeous film must everyone junior scientists fish lovers,0.83333,8.3333,ilm teem life reef make gorgeou film must everyon junior scientist fish lover,13
ilmmaker simon wells would reverence material,0.44444,4.4444,ilmmak simon well would rever materi,6
ilmmaker simon wells would reverence material but costly dud far cry either book beloved film,0.13889,1.3889,ilmmak simon well would rever materi costli dud far cri either book belov film,14
ilmmaker yvan attal quickly write corner,0.30556,3.0556,ilmmak yvan attal quickli write corner,6
ilmmaker bring edge personality the rising place would set apart deep south stories,0.5,5.0,ilmmak bring edg person rise place would set apart deep south stori,12
ilmmaker let morph typical romantic triangle,0.40278,4.0278,ilmmak let morph typic romant triangl,6
ilmmaker let morph typical romantic triangle instead,0.81944,8.1944,ilmmak let morph typic romant triangl instead,7
ilmmaker secrets bury heart story know take time reveal,0.81944,8.1944,ilmmak secret buri heart stori know take time reveal,9
ilmmaker secrets bury heart story know take time reveal strange occurrences,0.72222,7.2222,ilmmak secret buri heart stori know take time reveal strang occurr,11
ilmmakers anne marcken marilyn freeman,0.55556,5.5556,ilmmak ann marcken marilyn freeman,5
ilmmakers anne marcken marilyn freeman make project interest,0.63889,6.3889,ilmmak ann marcken marilyn freeman make project interest,8
ilmmakers copy saving private ryan battle scenes,0.375,3.75,ilmmak copi save privat ryan battl scene,7
ilmmakers copy saving private ryan battle scenes realize steven spielberg get right,0.33333,3.3333000000000004,ilmmak copi save privat ryan battl scene realiz steven spielberg get right,12
ilmmakers throw actors cameos hokey script,0.20833,2.0833,ilmmak throw actor cameo hokey script,6
ilmmaking kind pretend passionate truthful really frustratingly timid soggy,0.20833,2.0833,ilmmak kind pretend passion truth realli frustratingli timid soggi,9
ilmmaking director take approach shape story show compel,0.45833,4.5833,ilmmak director take approach shape stori show compel,8
ilmmaking one french cinema master craftsmen,0.875,8.75,ilmmak one french cinema master craftsman,6
ilmmaking team inevitable american remake,0.43056,4.3056,ilmmak team inevit american remak,5
ilmmaking attract upscale audiences hungry quality nostalgic twisty yarn keep guess,0.86111,8.6111,ilmmak attract upscal audienc hungri qualiti nostalg twisti yarn keep guess,11
ilmmaking today cognizant cultural moral issue involve process,0.56944,5.6944,ilmmak today cogniz cultur moral issu involv process,8
ilmmaking visually masterful work quiet power,0.81944,8.1944,ilmmak visual master work quiet power,6
ilmmaking assurance worthy international acclaim,0.875,8.75,ilmmak assur worthi intern acclaim,5
ilmmaking without balm ideology either liberal conservative,0.625,6.25,ilmmak without balm ideolog either liber conserv,7
ilmmaking without balm ideology either liberal conservative scorsese bravery integrity advance vision hardly underestimate,0.88889,8.8889,ilmmak without balm ideolog either liber conserv scorses braveri integr advanc vision hardli underestim,14
ilmmaking likely see anytime soon,0.47222,4.7222,ilmmak like see anytim soon,5
ilms weak subplots this one weaker,0.13889,1.3889,ilm weak subplot one weaker,5
ilms come along intelligent exuberant move monsoon wedding,1.0,10.0,ilm come along intellig exuber move monsoon wed,8
ilms ability mesmerize astonish entertain,0.86111,8.6111,ilm abil mesmer astonish entertain,5
ilms like kangaroo jack burst across america winter movie screen,0.55556,5.5556,ilm like kangaroo jack burst across america winter movi screen,10
ilms like philadelphia american beauty,0.47222,4.7222,ilm like philadelphia american beauti,5
ilms like the double life veronique,0.5,5.0,ilm like doubl life veroniqu,5
ilms pulp fiction get shorty resonate sardonic verve caustic purpose exist cletis tout,0.31944,3.1944,ilm pulp fiction get shorti reson sardon verv caustic purpos exist cleti tout,13
ilms leap national boundaries celebrate universal human nature,0.84722,8.472199999999999,ilm leap nation boundari celebr univers human natur,8
ilms try patience even critic one,0.27778,2.7778,ilm tri patienc even critic one,6
ilms cause load irreparable damage years years costly analysis could never fix,0.36111,3.6111,ilm caus load irrepar damag year year costli analysi could never fix,12
ilth attempt pass hip young adult entertainment,0.41667,4.1667,ilth attempt pas hip young adult entertain,7
inally lose thin soup can humor,0.41667,4.1667,inal lose thin soup humor,5
inally deliver goods schwarzenegger fan,0.68056,6.8056,inal deliv good schwarzenegg fan,5
inally worthy successor better tomorrow the killer patiently wait,0.76389,7.6389,inal worthi successor better tomorrow killer patient wait,8
inally lie kissinger should require view civics class public servants alike,0.72222,7.2222,inal lie kissing requir view civic class public servant alik,10
inally make sex with strangers open today new york metropolitan area distasteful,0.11111,1.1111,inal make sex stranger open today new york metropolitan area distast,11
inally move away usual bumble screen persona,0.63889,6.3889,inal move away usual bumbl screen persona,7
inally plug irritate character late movie,0.44444,4.4444,inal plug irrit charact late movi,6
inally return palma pulpy thrillers early,0.68056,6.8056,inal return palma pulpi thriller earli,6
inally seem impersonal even shallow,0.26389,2.6389,inal seem imperson even shallow,5
inally succeed diminish stature master lowly studio hack,0.055556,0.55556,inal succeed diminish statur master lowli studio hack,8
inally transport beauty beast horror film,0.66667,6.6667,inal transport beauti beast horror film,6
ind attal gainsbourg unfamiliar personas give film intimate quaint reality little closer human nature hollywood typically concoct,0.81944,8.1944,ind attal gainsbourg unfamiliar persona give film intim quaint realiti littl closer human natur hollywood typic concoct,17
ind matt damon ben affleck,0.54167,5.4167,ind matt damon ben affleck,5
ind matt damon ben affleck look residuals officially complete good will hunting trilogy never plan,0.55556,5.5556,ind matt damon ben affleck look residu offici complet good hunt trilog never plan,14
ind morrison iconoclastic use technology,0.61111,6.1111,ind morrison iconoclast use technolog,5
ind morrison iconoclastic use technology liberate,0.83333,8.3333,ind morrison iconoclast use technolog liber,6
ind the singles ward occasionally bewilder,0.34722,3.4722,ind singl ward occasion bewild,5
ind what time there well worth time,0.73611,7.3611,ind time well worth time,5
ind literary filmmaking style match subject,0.55556,5.5556,ind literari filmmak style match subject,6
ind compel dramatic mean address complex situation,0.77778,7.7778,ind compel dramat mean address complex situat,7
ind film dazzle eye challenge brain,0.88889,8.8889,ind film dazzl eye challeng brain,6
ind film dazzle eye challenge brain satisfy lust action,0.76389,7.6389,ind film dazzl eye challeng brain satisfi lust action,9
ind film adjective gentle apply,0.59722,5.9722,ind film adject gentl appli,5
ind movie character unattractive odorous leon,0.11111,1.1111,ind movi charact unattract odor leon,6
ind movie bigger fatter heart,0.45833,4.5833,ind movi bigger fatter heart,5
ind movie bigger fatter heart barbershop,0.72222,7.2222,ind movi bigger fatter heart barbershop,6
ind place among studio animate classics,0.70833,7.0833,ind place among studio anim classic,6
ind scathing portrayal powerful entity strangle life people want believe,0.63889,6.3889,ind scath portray power entiti strangl life peopl want believ,10
ind way bend current technique service vision past faithful architectural glory command open space city two centuries ago,0.70833,7.0833,ind way bend current techniqu servic vision past faith architectur glori command open space citi two centuri ago,18
ind actual vietnam war combat movie actually produce either north south vietnamese,0.55556,5.5556,ind actual vietnam war combat movi actual produc either north south vietnames,12
ind enthusiastic audience among american buff film interest,0.63889,6.3889,ind enthusiast audienc among american buff film interest,8
ind anything get excite dvd,0.27778,2.7778,ind anyth get excit dvd,5
ind enough material bring kissinger record question explain diplomat tweak version statecraft may cost thousands possibly millions live,0.52778,5.2778,ind enough materi bring kissing record question explain diplomat tweak version statecraft may cost thousand possibl million live,18
ind greatness hue drastic iconography,0.59722,5.9722,ind great hue drastic iconographi,5
ind smile one time another,0.76389,7.6389,ind smile one time anoth,5
ind humor like blend shade lipstick,0.63889,6.3889,ind humor like blend shade lipstick,6
ind character foibles timeless unique perspective,0.70833,7.0833,ind charact foibl timeless uniqu perspect,6
ind either moderately amuse plain irrelevant,0.31944,3.1944,ind either moder amus plain irrelev,6
ind ring indisputably spooky film,0.68056,6.8056,ind ring indisput spooki film,5
ind ring indisputably spooky film screenplay die,0.86111,8.6111,ind ring indisput spooki film screenplay die,7
ind little interest film often preachy poorly act,0.23611,2.3611,ind littl interest film often preachi poorli act,8
ind much fascination swing what matter plumb arrangements mind game erotic sensuous charge,0.31944,3.1944,ind much fascin swing matter plumb arrang mind game erot sensuou charg,12
ind new avenues discourse old problems,0.59722,5.9722,ind new avenu discours old problem,6
ind new rout familiar neighborhood,0.55556,5.5556,ind new rout familiar neighborhood,5
ind mention political prisoners persecutions might paint castro regime less saintly tone,0.47222,4.7222,ind mention polit prison persecut might paint castro regim le saintli tone,12
ind art matter resonate far beyond museum wall painfully marginal live,0.56944,5.6944,ind art matter reson far beyond museum wall pain margin live,11
ind next inevitable incarnation the love boat,0.5,5.0,ind next inevit incarn love boat,6
ind surprise much care story,0.75,7.5,ind surpris much care stori,5
ind plenty shake shiver the ring,0.56944,5.6944,ind plenti shake shiver ring,5
ind room one member little band professional screenwriter,0.33333,3.3333000000000004,ind room one member littl band profession screenwrit,8
ind solace events could easily crush forever,0.51389,5.1389,ind solac event could easili crush forev,7
ind hook hang persistently useless movies,0.13889,1.3889,ind hook hang persist useless movi,6
ind something new add canon chan,0.5,5.0,ind someth new add canon chan,6
ind something new add canon chan make chan action sequence bore,0.23611,2.3611,ind someth new add canon chan make chan action sequenc bore,11
ind stardom mapquest email drive directions,0.5,5.0,ind stardom mapquest email drive direct,6
ind the road perdition lead satisfy destination,0.76389,7.6389,ind road perdit lead satisfi destin,6
ind human nature pretty much,0.58333,5.8333,ind human natur pretti much,5
ind go quickly funniest joke movie year include intend adults,0.80556,8.0556,ind go quickli funniest joke movi year includ intend adult,10
ind real natural tone movies able accomplish,0.79167,7.9167,ind real natur tone movi abl accomplish,7
ind seed hope form collective action,0.66667,6.6667,ind seed hope form collect action,6
ind dollars best spend elsewhere,0.27778,2.7778,ind dollar best spend elsewher,5
ind stifle yawn two first hour,0.26389,2.6389,ind stifl yawn two first hour,6
ind wish could roll take nap,0.125,1.25,ind wish could roll take nap,6
ind seek trouble every day,0.51389,5.1389,ind seek troubl everi day,5
ind remember refresh visit sunshine state,0.52778,5.2778,ind rememb refresh visit sunshin state,6
ind root gai character avoid fate befall every carmen,0.66667,6.6667,ind root gai charact avoid fate befal everi carmen,9
ind root monsters horror movie,0.375,3.75,ind root monster horror movi,5
ind star hypnotically try understand wonder crack,0.61111,6.1111,ind star hypnot tri understand wonder crack,7
inding new angle tireless story,0.47222,4.7222,ind new angl tireless stori,5
inding entertainment experience zishe fiery presence hanussen,0.55556,5.5556,ind entertain experi zish fieri presenc hanussen,7
inding necessary hide new secretions parental units,0.58333,5.8333,ind necessari hide new secret parent unit,7
inding character slackers antic amuse let alone funny,0.68056,6.8056,ind charact slacker antic amus let alon funni,8
inds consistent tone lack bite degenerate pious preachy soap opera,0.22222,2.2222,ind consist tone lack bite degener piou preachi soap opera,10
inds inspiration fringe american underground,0.69444,6.9444,ind inspir fring american underground,5
inds humor foibles human behavior,0.54167,5.4167,ind humor foibl human behavior,5
inds difficult sustain interest profession family tragedy,0.31944,3.1944,ind difficult sustain interest profess famili tragedi,7
inds difficult sustain interest profession family tragedy too predictably fact,0.22222,2.2222,ind difficult sustain interest profess famili tragedi predict fact,9
inds humour black man get humiliate pack dog smarter,0.20833,2.0833,ind humour black man get humili pack dog smarter,9
inds tone several scenes run,0.625,6.25,ind tone sever scene run,5
inds surprise depth look bind small family,0.70833,7.0833,ind surpris depth look bind small famili,7
inds tonal thematic glue need,0.51389,5.1389,ind tonal themat glue need,5
inds warmth coldest environment make crumb emotional comfort,0.83333,8.3333,ind warmth coldest environ make crumb emot comfort,8
ine performances lead josef bierbichler brecht monica bleibtreu helene weigel wife,0.84722,8.472199999999999,ine perform lead josef bierbichl brecht monica bleibtreu helen weigel wife,11
ine performances two lead originate character stage,0.73611,7.3611,ine perform two lead origin charact stage,7
ine performances make delicate tale treat,0.90278,9.027800000000001,ine perform make delic tale treat,6
inely craft finely write exquisitely perform,0.875,8.75,ine craft fine write exquisit perform,6
inish feature fall grace still leave shockwaves,0.51389,5.1389,inish featur fall grace still leav shockwav,7
inish like wet burlap sack gloom,0.38889,3.8889,inish like wet burlap sack gloom,6
inishes half parsec nose ahead generations,0.58333,5.8333,inish half parsec nose ahead gener,6
irmly believe good video game movie go show soon,0.63889,6.3889,irmli believ good video game movi go show soon,9
irmly believe people lose ability think forgive shoddy product long little action,0.097222,0.9722200000000001,irmli believ peopl lose abil think forgiv shoddi product long littl action,12
irmly director john stainton tongue cheek,0.52778,5.2778,irmli director john stainton tongu cheek,6
irst quiet cadences pure finesse,0.63889,6.3889,irst quiet cadenc pure fine,5
irst give audience reason want put effort,0.44444,4.4444,irst give audienc reason want put effort,7
irst many effective horror elements,0.52778,5.2778,irst mani effect horror element,5
irst many effective horror elements dampen familiarity,0.33333,3.3333000000000004,irst mani effect horror element dampen familiar,7
irst actor lead group talented friends astray,0.41667,4.1667,irst actor lead group talent friend astray,7
irst film something sleeper success,0.63889,6.3889,irst film someth sleeper success,5
irst full scale wwii flick,0.68056,6.8056,irst full scale wwii flick,5
irst lousy guy ritchie imitation,0.20833,2.0833,irst lousi guy ritchi imit,5
irst make audiences side atlantic love,0.75,7.5,irst make audienc side atlant love,6
irst question ask bad company,0.5,5.0,irst question ask bad compani,5
natural act look real americans,0.77778,7.7778,natur act look real american,5
screenwriter paul pender overload sugary bits business,0.44444,4.4444,screenwrit paul pender overload sugari bit busi,7
istfights car chase movie phlegmatic bore tedious make silly spy spy film the sum all fears star ben affleck seem downright hitchcockian,0.36111,3.6111,istfight car chase movi phlegmat bore tediou make silli spi spi film sum fear star ben affleck seem downright hitchcockian,20
itfully amuse ultimately weightless decent draft auditorium might blow screen,0.40278,4.0278,it amus ultim weightless decent draft auditorium might blow screen,10
ive blind cripple amish people,0.5,5.0,ive blind crippl amish peopl,5
ive blind cripple amish people alive situation,0.47222,4.7222,ive blind crippl amish peopl aliv situat,7
ive contemporary individuals psychological masterpiece,0.94444,9.4444,ive contemporari individu psycholog masterpiec,5
ixating far corner screen time,0.65278,6.5278,ixat far corner screen time,5
ixating far corner screen time nerve take,0.38889,3.8889,ixat far corner screen time nerv take,7
ixating body humour reinforcement stereotype,0.30556,3.0556,ixat bodi humour reinforc stereotyp,5
izzles like wet stick dynamite,0.125,1.25,izzl like wet stick dynamit,5
lailing around caper neither original terribly funny,0.30556,3.0556,lail around caper neither origin terribl funni,7
lashbulb edit cover absence narrative continuity,0.33333,3.3333000000000004,lashbulb edit cover absenc narr continu,6
lash red light rattle noise bump head,0.44444,4.4444,lash red light rattl nois bump head,7
lat scruffy sand titular community,0.16667,1.6667,lat scruffi sand titular commun,5
lat think man cia agent jack ryan summer new action film the sum all fears,0.36111,3.6111,lat think man cia agent jack ryan summer new action film sum fear,13
amuse sometimes endear often fabulous,0.94444,9.4444,amus sometim endear often fabul,5
amuse sometimes endear often fabulous solid cast,0.94444,9.4444,amus sometim endear often fabul solid cast,7
amuse sometimes endear often fabulous solid cast noteworthy character delicious dialogue wide supply,0.83333,8.3333,amus sometim endear often fabul solid cast noteworthi charact delici dialogu wide suppli,13
latulence gag fit holiday concept,0.5,5.0,latul gag fit holiday concept,5
latulence joke mild sexual reference kung pow,0.51389,5.1389,latul joke mild sexual refer kung pow,7
lavours emotions one part romance novel one part recipe book,0.52778,5.2778,lavour emot one part romanc novel one part recip book,10
lawed assure wrong things scar admit much may really need company others,0.43056,4.3056,law assur wrong thing scar admit much may realli need compani other,12
lawless amount act direction story pace,0.93056,9.3056,lawless amount act direct stori pace,6
lawless film wang emerge front rank china numerous filmmakers,0.66667,6.6667,lawless film wang emerg front rank china numer filmmak,9
laws also stretch impact moments awe,0.58333,5.8333,law also stretch impact moment awe,6
laws igby goes down may possess,0.44444,4.4444,law igbi goe may posse,5
laws lay squarely taylor doorstep,0.41667,4.1667,law lay squar taylor doorstep,5
leet turn plot feast visual amazement,0.70833,7.0833,leet turn plot feast visual amaz,6
leshed little instead go easy smile,0.29167,2.9166999999999996,lesh littl instead go easi smile,6
lick upper teens may get cynical,0.38889,3.8889,lick upper teen may get cynic,6
lick upper teens may get cynical smaller number kidlets enjoy,0.5,5.0,lick upper teen may get cynic smaller number kidlet enjoy,10
lick can shots raymond burr comment monster path destruction,0.47222,4.7222,lick shot raymond burr comment monster path destruct,8
lick worthy couple hours summertime bucket popcorn nothing overly original mind,0.70833,7.0833,lick worthi coupl hour summertim bucket popcorn noth overli origin mind,11
limsier many character logically porous action set,0.25,2.5,limsier mani charact logic porou action set,7
limsy worse yet nonexistent ideas,0.19444,1.9444,limsi wors yet nonexist idea,5
linch unsettle prognosis namely legacy war kind perpetual pain,0.5,5.0,linch unsettl prognosi name legaci war kind perpetu pain,9
lippant lock stock two smoking barrels,0.54167,5.4167,lippant lock stock two smoke barrel,6
lirts bathos pathos oprahfication world,0.51389,5.1389,lirt batho patho oprahf world,5
lirts bathos pathos oprahfication world know,0.27778,2.7778,lirt batho patho oprahf world know,6
loats beyond reality certain degree wit dignity,0.70833,7.0833,loat beyond realiti certain degre wit digniti,7
log dead horse surprise obligation how surprise try something new,0.055556,0.55556,log dead hors surpris oblig surpris tri someth new,9
lorid overplotted anne rice rock,0.29167,2.9166999999999996,lorid overplot ann rice rock,5
lorid ultimately vapid crime melodrama,0.22222,2.2222,lorid ultim vapid crime melodrama,5
lourishes artsy fantasy sequence simply feel wrong,0.47222,4.7222,lourish artsi fantasi sequenc simpli feel wrong,7
low hollywood pipeline without hitch,0.66667,6.6667,low hollywood pipelin without hitch,5
low cho life story provide engross dramatic line,0.69444,6.9444,low cho life stori provid engross dramat line,8
low forward back weave theme among three strand allow view events prism,0.76389,7.6389,low forward back weav theme among three strand allow view event prism,12
furiously funny pace rip aware,0.70833,7.0833,furious funni pace rip awar,5
ocus hero odyssey cower poverty courage happiness,0.69444,6.9444,ocu hero odyssey cower poverti courag happi,7
ocus humiliation martin defecate bed,0.44444,4.4444,ocu humili martin defec bed,5
ocused film emerge surprise nations,0.73611,7.3611,ocus film emerg surpris nation,5
ocused travail hal hartley function pastiche,0.58333,5.8333,ocus travail hal hartley function pastich,6
